GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:1902743	regulation of lamellipodium organization	9	4	0.19	1.9e-05
GO:0051124	synaptic growth at neuromuscular junctio...	59	8	1.22	2.0e-05
GO:0007265	Ras protein signal transduction	61	8	1.26	2.5e-05
GO:0035556	intracellular signal transduction	198	14	4.09	3.0e-05
GO:0030032	lamellipodium assembly	10	4	0.21	3.1e-05
GO:0097581	lamellipodium organization	10	4	0.21	3.1e-05
GO:0007264	small GTPase mediated signal transductio...	63	8	1.3	3.2e-05
GO:0045898	regulation of RNA polymerase II transcri...	4	3	0.08	3.3e-05
GO:0045899	positive regulation of RNA polymerase II...	4	3	0.08	3.3e-05
GO:0030865	cortical cytoskeleton organization	32	6	0.66	3.6e-05
GO:0007165	signal transduction	492	23	10.16	4.9e-05
GO:0007166	cell surface receptor signaling pathway	237	15	4.9	5.5e-05
GO:0019953	sexual reproduction	363	19	7.5	6.4e-05
GO:0044703	multi-organism reproductive process	363	19	7.5	6.4e-05
GO:0048609	multicellular organismal reproductive pr...	363	19	7.5	6.4e-05
GO:0010592	positive regulation of lamellipodium ass...	5	3	0.1	8.1e-05
GO:1902745	positive regulation of lamellipodium org...	5	3	0.1	8.1e-05
GO:0048468	cell development	508	23	10.49	8.2e-05
GO:0007528	neuromuscular junction development	72	8	1.49	8.7e-05
GO:0016043	cellular component organization	1000	35	20.66	9.2e-05
GO:0032504	multicellular organism reproduction	376	19	7.77	0.00010
GO:0048870	cell motility	119	10	2.46	0.00012
GO:0007275	multicellular organism development	794	30	16.4	0.00012
GO:0008154	actin polymerization or depolymerization	25	5	0.52	0.00012
GO:0007267	cell-cell signaling	170	12	3.51	0.00013
GO:0051674	localization of cell	121	10	2.5	0.00014
GO:0051489	regulation of filopodium assembly	14	4	0.29	0.00014
GO:0030718	germ-line stem cell population maintenan...	26	5	0.54	0.00015
GO:0031334	positive regulation of protein complex a...	26	5	0.54	0.00015
GO:0007389	pattern specification process	173	12	3.57	0.00015
GO:0072657	protein localization to membrane	41	6	0.85	0.00015
GO:0033363	secretory granule organization	6	3	0.12	0.00016
GO:0030866	cortical actin cytoskeleton organization	27	5	0.56	0.00018
GO:0044085	cellular component biogenesis	536	23	11.07	0.00019
GO:0048869	cellular developmental process	617	25	12.74	0.00022
GO:0016477	cell migration	105	9	2.17	0.00023
GO:0051960	regulation of nervous system development	130	10	2.69	0.00025
GO:0022414	reproductive process	401	19	8.28	0.00025
GO:0032940	secretion by cell	84	8	1.74	0.00026
GO:0032502	developmental process	960	33	19.83	0.00029
GO:0003002	regionalization	158	11	3.26	0.00029
GO:0048638	regulation of developmental growth	86	8	1.78	0.00031
GO:0048856	anatomical structure development	919	32	18.98	0.00031
GO:0051130	positive regulation of cellular componen...	109	9	2.25	0.00031
GO:0046903	secretion	87	8	1.8	0.00033
GO:0008593	regulation of Notch signaling pathway	47	6	0.97	0.00033
GO:0043254	regulation of protein complex assembly	47	6	0.97	0.00033
GO:0040007	growth	161	11	3.33	0.00034
GO:0000003	reproduction	412	19	8.51	0.00036
GO:0048513	animal organ development	412	19	8.51	0.00036
GO:0035220	wing disc development	136	10	2.81	0.00036
GO:0016050	vesicle organization	67	7	1.38	0.00037
GO:0008360	regulation of cell shape	18	4	0.37	0.00040
GO:0046847	filopodium assembly	18	4	0.37	0.00040
GO:0014045	establishment of endothelial blood-brain...	2	2	0.04	0.00042
GO:0032291	axon ensheathment in central nervous sys...	2	2	0.04	0.00042
GO:1903292	protein localization to Golgi membrane	2	2	0.04	0.00042
GO:0023061	signal release	49	6	1.01	0.00042
